,930,,Qualification,0,0,0,0,2,1,1,1,0,Lv?,false,0,0,0,0,1,3,3,2,0,Lv0,false,false,0,0,0,0,0,0,false,
RobertTesting,6906,1,Qualification,1,3,1,1,1,4,1,1,0,Lv1,false,1,0,3,0,1,2,1,1,0,Lv2,true,false,19,0,0,2,2,2,true,hello there
RobertTesting,930,2,Qualification,2,4,3,3,4,4,3,7,0,Lv2,false,2,3,2,2,5,5,5,4,0,Lv3,false,true,13,0,0,1,2,2,true,is930
RobertTesting,6823,3,Qualification,0,0,0,0,0,0,0,0,0,Lv?,false,0,0,0,0,0,0,0,0,0,Lv0,false,false,0,0,0,0,0,0,false,
RobertTesting,,4,Qualification,0,0,0,0,0,0,0,0,0,Lv?,false,0,0,0,0,0,0,0,0,0,Lv0,false,false,0,0,0,0,0,0,false,
casv_robert,930,1,Practice,17,4,3,4,5,4,4,5,0,Lv1,false,6,7,3,7,0,0,0,0,0,Lv3,false,false,0,0,0,0,0,0,false,really good
Testing_robert,930,4,Practice,2,2,2,2,2,2,2,2,0,Lv?,false,1,1,1,1,1,1,1,1,0,Lv0,false,false,0,0,0,0,0,0,true,
Testing_robert,,5,Practice,0,0,0,0,0,0,0,0,0,Lv?,false,0,0,0,0,0,0,0,0,0,Lv0,false,false,0,0,0,0,0,0,false,
Testing_robert,,6,Practice,0,0,0,0,0,0,0,0,0,Lv?,false,0,0,0,0,0,0,0,0,0,Lv0,false,false,0,0,0,0,0,0,false,
Testing_robert,,7,Practice,0,0,0,0,0,0,0,0,0,Lv?,false,0,0,0,0,0,0,0,0,0,Lv0,false,false,0,0,0,0,0,0,false,
DETEIN_Robert,930,1,Practice,4,0,2,0,1,0,2,4,0,Lv1,true,0,0,0,0,0,0,0,0,0,Lv1,true,false,1,0,0,3,3,0,false,13 game pieces
DETEIN_Robert,217,2,Practice,0,0,0,0,0,0,1,1,0,Lv1,true,1,0,0,1,0,0,0,1,0,Lv3,true,false,5,0,0,2,2,0,false,they got so heavily defended
DETEIN_Robert,133,3,Practice,4,0,0,1,1,0,0,2,0,Lv2,true,0,0,0,0,0,0,0,0,0,Lv3,false,false,0,0,0,1,2,0,false,they got pushed around the entire match but still managed to score into the cargo ship while flying by.
DETEIN_Robert,217,4,Practice,0,0,0,0,0,0,1,1,0,Lv?,false,3,0,0,0,2,0,0,2,0,Lv2,true,false,5,0,0,3,2,0,false,they kinda won worlds
DETEIN_Robert,195,6,Practice,0,0,0,0,1,0,0,0,0,Lv2,true,3,0,0,1,0,0,1,2,0,Lv2,false,false,5,0,0,2,2,0,false,
